
          ---- Aqueous concentrations vs. grid blocks at specified times ----

   Unit: 
    - Aqueous species: Total concencentrations in mol/L     
    - Component in dry nodes in mol/L medium

VARIABLES =X,        Y,       Z,  P(bar)  ,      Sg,       Sl  ,     T(C)  ,  aH2O,    pH     ,t_tracer   ,
ZONE T= "0.100000E+00 d"  F=POINT
     27.480     25.270     0.000  0.3005E+03  0.0000E+00  0.1000E+01 152.380  1.0000  5.6452  0.6016E-03
     27.550     49.660     0.000  0.3005E+03  0.0000E+00  0.1000E+01 164.196  1.0000  5.6452  0.5003E-03
     29.060   -118.700     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.389  1.0000  5.6452  0.4006E-04
     31.640   -136.300     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.798  1.0000  5.6452  0.2342E-04
     34.790    145.500     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.783  1.0000  5.6452  0.9688E-05
     36.990     88.420     0.000  0.3005E+03  0.0000E+00  0.1000E+01 188.490  1.0000  5.6452  0.1222E-03
     37.500   -200.000     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.895  1.0000  5.6452  0.1446E-06
     43.010   -175.600     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.896  1.0000  5.6452  0.7921E-07
     43.190    -21.400     0.000  0.3005E+03  0.0000E+00  0.1000E+01 179.537  1.0000  5.6452  0.2804E-03
     45.890    -85.580     0.000  0.3005E+03  0.0000E+00  0.1000E+01 191.914  1.0000  5.6452  0.2354E-04
     46.270    174.400     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.895  1.0000  5.6452  0.1983E-06
     46.620    -44.030     0.000  0.3005E+03  0.0000E+00  0.1000E+01 187.552  1.0000  5.6452  0.1221E-03
     46.900     14.160     0.000  0.3005E+03  0.0000E+00  0.1000E+01 182.529  1.0000  5.6452  0.2128E-03
     47.510    122.200     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.865  1.0000  5.6452  0.1022E-05
     48.830    200.000     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.896  1.0000  5.6452  0.2780E-07
     49.510     62.860     0.000  0.3005E+03  0.0000E+00  0.1000E+01 189.848  1.0000  5.6452  0.6930E-04
     53.660     36.660     0.000  0.3005E+03  0.0000E+00  0.1000E+01 188.931  1.0000  5.6452  0.8551E-04
     53.820     -4.071     0.000  0.3005E+03  0.0000E+00  0.1000E+01 189.611  1.0000  5.6452  0.7222E-04
     54.550    -67.510     0.000  0.3005E+03  0.0000E+00  0.1000E+01 191.965  1.0000  5.6452  0.2314E-04
     56.640   -116.700     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.818  1.0000  5.6452  0.2126E-05
     57.760     99.750     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.570  1.0000  5.6452  0.9445E-05
     58.560   -157.600     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.895  1.0000  5.6452  0.8302E-07
     60.750    137.800     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.894  1.0000  5.6452  0.9705E-07
     60.790   -139.500     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.891  1.0000  5.6452  0.2040E-06
     62.090    156.800     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.896  1.0000  5.6452  0.2179E-07
     73.420    118.100     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.880  1.0000  5.6452  0.4857E-06
     78.120    200.000     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.896  1.0000  5.6452  0.2342E-09
     78.510    173.400     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.896  1.0000  5.6452  0.7639E-09
     80.460   -176.900     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.896  1.0000  5.6452  0.5125E-09
     81.190     75.340     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.750  1.0000  5.6452  0.3682E-05
     86.230   -118.600     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.895  1.0000  5.6452  0.2901E-07
     86.810    -23.800     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.497  1.0000  5.6452  0.9953E-05
     86.880     14.580     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.514  1.0000  5.6452  0.9304E-05
     87.500   -200.000     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.896  1.0000  5.6452  0.2147E-09
     88.500     45.740     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.701  1.0000  5.6452  0.4762E-05
     89.760    -84.980     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.871  1.0000  5.6452  0.6491E-06
     90.960    137.300     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.895  1.0000  5.6452  0.1015E-07
     94.660    -54.500     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.832  1.0000  5.6452  0.1654E-05
     98.480     99.970     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.890  1.0000  5.6452  0.1556E-06
    101.900   -145.000     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.896  1.0000  5.6452  0.7778E-09
    107.500    154.400     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.896  1.0000  5.6452  0.1543E-09
    108.400    180.000     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.896  1.0000  5.6452  0.9186E-10
    108.400    200.000     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.896  1.0000  5.6452  0.8969E-10
    115.600   -108.500     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.895  1.0000  5.6452  0.1357E-07
    116.200     66.610     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.890  1.0000  5.6452  0.1470E-06
    117.600     -0.840     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.880  1.0000  5.6452  0.4202E-06
    122.300    125.000     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.896  1.0000  5.6452  0.1998E-08
    123.400   -168.100     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.896  1.0000  5.6452  0.9100E-10
    129.300    -34.330     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.891  1.0000  5.6452  0.1301E-06
    130.100     94.610     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.896  1.0000  5.6452  0.3859E-08
    130.100     34.910     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.891  1.0000  5.6452  0.1167E-06
    131.300    200.000     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.896  1.0000  5.6452  0.8933E-10
