0.0000E+00 -.6667E+02 0.0000E+00   0.300352E+08     193.500000
0.0000E+00 -.5185E+02 0.0000E+00   0.300352E+08     193.500000
0.0000E+00 -.3704E+02 0.0000E+00   0.300352E+08     193.500000
0.0000E+00 -.2222E+02 0.0000E+00   0.300352E+08     193.500000
0.0000E+00 -.7407E+01 0.0000E+00   0.300352E+08     193.500000
0.0000E+00 0.7407E+01 0.0000E+00   0.300352E+08     193.500000
0.0000E+00 0.2222E+02 0.0000E+00   0.300352E+08     193.500000
0.0000E+00 0.3704E+02 0.0000E+00   0.300352E+08     193.500000
0.0000E+00 0.5185E+02 0.0000E+00   0.300352E+08     193.500000
0.0000E+00 0.6667E+02 0.0000E+00   0.300352E+08     193.500000
0.0000E+00 0.8148E+02 0.0000E+00   0.300352E+08     193.500000
0.0000E+00 0.9630E+02 0.0000E+00   0.300352E+08     193.500000
0.0000E+00 0.1111E+03 0.0000E+00   0.300352E+08     193.500000
0.0000E+00 0.1259E+03 0.0000E+00   0.300352E+08     193.500000
0.0000E+00 0.1407E+03 0.0000E+00   0.300352E+08     193.500000
0.0000E+00 0.1555E+03 0.0000E+00   0.300352E+08     193.500000
0.0000E+00 0.1704E+03 0.0000E+00   0.300352E+08     193.500000
0.0000E+00 0.1852E+03 0.0000E+00   0.300352E+08     193.500000
0.0000E+00 0.2000E+03 0.0000E+00   0.300352E+08     193.500000
0.8651E+01 0.1203E+03 0.0000E+00   0.300352E+08     193.500000
0.9789E+01 -.1632E+03 0.0000E+00   0.300352E+08     193.500000
0.1110E+02 -.1883E+03 0.0000E+00   0.300352E+08     193.500000
0.1173E+02 0.1468E+03 0.0000E+00   0.300352E+08     193.500000
0.1193E+02 -.9514E+02 0.0000E+00   0.300352E+08     193.500000
0.1198E+02 -.1094E+03 0.0000E+00   0.300352E+08     193.500000
0.1236E+02 -.4811E+02 0.0000E+00   0.300352E+08     193.500000
0.1359E+02 0.4411E+02 0.0000E+00   0.300352E+08     193.500000
0.1361E+02 0.1340E+03 0.0000E+00   0.300352E+08     193.500000
0.1454E+02 0.5852E+02 0.0000E+00   0.300352E+08     193.500000
0.1471E+02 -.6844E+02 0.0000E+00   0.300352E+08     193.500000
0.1526E+02 -.1469E+03 0.0000E+00   0.300352E+08     193.500000
0.1555E+02 -.8340E+02 0.0000E+00   0.300352E+08     193.500000
0.1660E+02 -.1764E+03 0.0000E+00   0.300352E+08     193.500000
0.1816E+02 0.8501E+01 0.0000E+00   0.300352E+08     193.500000
0.1827E+02 0.1575E+03 0.0000E+00   0.300352E+08     193.500000
0.1845E+02 0.2000E+03 0.0000E+00   0.300352E+08     193.500000
0.1880E+02 0.2091E+02 0.0000E+00   0.300352E+08     193.500000
0.1933E+02 -.2000E+03 0.0000E+00   0.300352E+08     193.500000
0.1950E+02 0.1854E+03 0.0000E+00   0.300352E+08     193.500000
0.2069E+02 0.1058E+03 0.0000E+00   0.300352E+08     193.500000
0.2085E+02 -.1792E+02 0.0000E+00   0.300352E+08     193.500000
0.2090E+02 0.8758E+02 0.0000E+00   0.300352E+08     193.500000
0.2195E+02 -.1314E+03 0.0000E+00   0.300352E+08     193.500000
0.2201E+02 0.1711E+03 0.0000E+00   0.300352E+08     193.500000
0.2214E+02 -.1161E+03 0.0000E+00   0.300352E+08     193.500000
0.2306E+02 0.7227E+02 0.0000E+00   0.300352E+08     193.500000
0.2355E+02 -.1557E+03 0.0000E+00   0.300352E+08     193.500000
0.2481E+02 -.3250E+02 0.0000E+00   0.300352E+08     193.500000
0.2494E+02 -.2317E+01 0.0000E+00   0.300352E+08     193.500000
0.2498E+02 -.5266E+02 0.0000E+00   0.300352E+08     193.500000
0.2607E+02 0.3159E+02 0.0000E+00   0.300352E+08     193.500000
0.2829E+02 0.1240E+03 0.0000E+00   0.300352E+08     193.500000
0.2842E+02 -.1681E+03 0.0000E+00   0.300352E+08     193.500000
0.2867E+02 -.1842E+03 0.0000E+00   0.300352E+08     193.500000
0.2876E+02 -.9820E+02 0.0000E+00   0.300352E+08     193.500000
0.3137E+02 0.4955E+02 0.0000E+00   0.300352E+08     193.500000
0.3161E+02 -.7794E+02 0.0000E+00   0.300352E+08     193.500000
0.3202E+02 -.6272E+02 0.0000E+00   0.300352E+08     193.500000
0.3281E+02 -.2000E+03 0.0000E+00   0.300352E+08     193.500000
0.3303E+02 -.1428E+03 0.0000E+00   0.300352E+08     193.500000
0.3355E+02 0.1411E+03 0.0000E+00   0.300352E+08     193.500000
0.3443E+02 0.8794E+02 0.0000E+00   0.300352E+08     193.500000
0.3570E+02 0.1799E+03 0.0000E+00   0.300352E+08     193.500000
0.3632E+02 0.6543E+02 0.0000E+00   0.300352E+08     193.500000
0.3666E+02 0.1576E+03 0.0000E+00   0.300352E+08     193.500000
0.3679E+02 -.1163E+03 0.0000E+00   0.300352E+08     193.500000
0.3911E+02 0.2000E+03 0.0000E+00   0.300352E+08     193.500000
0.4028E+02 -.1558E+03 0.0000E+00   0.300352E+08     193.500000
0.4112E+02 -.1298E+03 0.0000E+00   0.300352E+08     193.500000
0.4227E+02 -.4828E+02 0.0000E+00   0.300352E+08     193.500000
0.4254E+02 0.1141E+02 0.0000E+00   0.300352E+08     193.500000
0.4365E+02 -.2920E+02 0.0000E+00   0.300352E+08     193.500000
0.4368E+02 -.9032E+01 0.0000E+00   0.300352E+08     193.500000
0.4378E+02 -.1731E+03 0.0000E+00   0.300352E+08     193.500000
0.4410E+02 -.2000E+03 0.0000E+00   0.300352E+08     193.500000
