
          ---- Modelling Progress and Iteration Messages ----

   Description of column-headers and variables:
   ITERFL  = Iterations to solve flow
   ITERSQ  = Sequential transport-chemistry iterations
   MAXITCH = Maximum iterations to solve chemistry
   AVGITCH = Average iterations to solve chemistry
   DELTA-T = Current time step (days)
   Dt limit = Criterion limiting timestep
   Maxitch ID = Grid block: maximum chemical iterations

     STEP   Time(day)   ITERFL ITERSQ MAXITCH AVGITCH Delta-t(day)  Dt limit       Maxitch ID
 ----------------------------------------------------------------------------------------------------------
      290  0.336485E+04     3     1      0    0.000  0.20000E+02  Max_Delta_t            
      300  0.356485E+04     3     1      0    0.000  0.20000E+02  Max_Delta_t            
      310  0.376485E+04     3     1      0    0.000  0.20000E+02  Max_Delta_t            
      320  0.396485E+04     3     1      0    0.000  0.20000E+02  Max_Delta_t            
      330  0.416485E+04     3     1      0    0.000  0.20000E+02  Max_Delta_t            
      340  0.436485E+04     3     1      0    0.000  0.20000E+02  Max_Delta_t            
      350  0.456485E+04     3     1      0    0.000  0.20000E+02  Max_Delta_t            
      360  0.476485E+04     3     1      0    0.000  0.20000E+02  Max_Delta_t            
      370  0.496485E+04     3     1      0    0.000  0.20000E+02  Max_Delta_t            
      380  0.516485E+04     3     1      0    0.000  0.20000E+02  Max_Delta_t            
      390  0.536485E+04     3     1      0    0.000  0.20000E+02  Max_Delta_t            
      400  0.556485E+04     3     1      0    0.000  0.20000E+02  Max_Delta_t            
      410  0.576485E+04     3     1      0    0.000  0.20000E+02  Max_Delta_t            
      420  0.596485E+04     3     1      0    0.000  0.20000E+02  Max_Delta_t            
      430  0.616485E+04     3     1      0    0.000  0.20000E+02  Max_Delta_t            
      440  0.636485E+04     3     1      0    0.000  0.20000E+02  Max_Delta_t            
      450  0.656485E+04     3     1      0    0.000  0.20000E+02  Max_Delta_t            
      460  0.676485E+04     3     1      0    0.000  0.20000E+02  Max_Delta_t            
      470  0.696485E+04     3     1      0    0.000  0.20000E+02  Max_Delta_t            
      480  0.716485E+04     3     1      0    0.000  0.20000E+02  Max_Delta_t            
      490  0.736485E+04     3     1      0    0.000  0.20000E+02  Max_Delta_t            
      500  0.756485E+04     3     1      0    0.000  0.20000E+02  Max_Delta_t            
      510  0.776485E+04     3     1      0    0.000  0.20000E+02  Max_Delta_t            
      520  0.796485E+04     3     1      0    0.000  0.20000E+02  Max_Delta_t            
      530  0.816485E+04     3     1      0    0.000  0.20000E+02  Max_Delta_t            
      540  0.836485E+04     3     1      0    0.000  0.20000E+02  Max_Delta_t            
      550  0.856485E+04     3     1      0    0.000  0.20000E+02  Max_Delta_t            
      560  0.876485E+04     3     1      0    0.000  0.20000E+02  Max_Delta_t            
      570  0.896485E+04     3     1      0    0.000  0.20000E+02  Max_Delta_t            
      580  0.916485E+04     3     1      0    0.000  0.20000E+02  Max_Delta_t            
      590  0.936485E+04     3     1      0    0.000  0.20000E+02  Max_Delta_t            
      600  0.956485E+04     3     1      0    0.000  0.20000E+02  Max_Delta_t            
      610  0.976485E+04     3     1      0    0.000  0.20000E+02  Max_Delta_t            
      620  0.996485E+04     3     1      0    0.000  0.20000E+02  Max_Delta_t            
      622  0.100000E+05     3     1      0    0.000  0.15150E+02  Max_Delta_t            

  ...done!   simulation finished

